id,label,sentence,color
プログラミング通論_0,プログラミング通論,プログラミングの初歩を学んだ学生を対象に、再帰的手続き、データ構造、基本的アルゴリズムを学び、C言語でのプログラム作成を目指す。,#E3EBA4
プログラミング通論_1,再帰的手続き,再帰呼出しの概念とその実行方法を学び、再帰呼出しの除去方法も理解する。,#E3EBA4
プログラミング通論_2,データ構造,基本的なデータ型やデータ構造（スタック、キュー、デク、リスト）を学び、それらの応用方法を理解する。,#E3EBA4
プログラミング通論_3,基本的アルゴリズム,基本的な整列法や探索法を学び、効率的なアルゴリズムの設計と実装を目指す。,#E3EBA4
プログラミング通論_4,C言語,C言語の基本機能を復習し、データ構造やアルゴリズムを用いたプログラムを作成する。,#E3EBA4
プログラミング通論_5,関数と引数渡し,関数の基本概念と引数渡しの方法を復習し、再帰呼出しの基礎を理解する。,#E3EBA4
プログラミング通論_6,分割統治法,問題を小さな部分に分割し、それぞれを解決することで全体の問題を解決する手法を学ぶ。,#E3EBA4
プログラミング通論_7,スタック・配列表現,再帰呼出しの実行方法として、スタックや配列を用いた表現方法を学ぶ。,#E3EBA4
プログラミング通論_8,ポインタ,C言語におけるポインタの基本概念とその操作方法を学ぶ。,#E3EBA4
プログラミング通論_9,スタック,データ構造の一つであるスタックの基本概念と操作方法を学ぶ。,#E3EBA4
プログラミング通論_10,キュー,データ構造の一つであるキューの基本概念と操作方法を学ぶ。,#E3EBA4
プログラミング通論_11,デク,データ構造の一つであるデクの基本概念と操作方法を学ぶ。,#E3EBA4
プログラミング通論_12,リスト,リスト構造の基本概念とその応用方法を学び、抽象データ型としてのリストを理解する。,#E3EBA4
プログラミング通論_13,選択ソート,基本的な整列法の一つである選択ソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_14,挿入ソート,基本的な整列法の一つである挿入ソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_15,バブルソート,基本的な整列法の一つであるバブルソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_16,クイックソート,高速な整列法の一つであるクイックソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_17,ヒープソート,高速な整列法の一つであるヒープソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_18,基数整列法,基数整列法のアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_19,マージソート,マージソートのアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_20,線型探索,基本的な探索法の一つである線型探索のアルゴリズムとその実装方法を学ぶ。,#E3EBA4
プログラミング通論_21,二分探索,効率的な探索法の一つである二分探索のアルゴリズムとその実装方法を学ぶ。,#E3EBA4
